name,desc,last_30_d,last_90_d,last_year,build_error
hamlib,Ham radio control libraries,290,640,1437,0
handbrake,"Open-source video transcoder available for Linux, Mac, and Windows",1008,3349,13414,0
hapi-fhir-cli,Command-line interface for the HAPI FHIR library,34,89,363,0
haproxy,"Reliable, high performance TCP/HTTP load balancer",1742,4931,17135,0
harbour,"Portable, xBase-compatible programming language and environment",5,16,64,0
hardlink,Replace file copies using hardlinks,10,35,140,0
hardlink-osx,Command-line utility that implements hardlinks on macOS,5,100,898,0
harfbuzz,OpenType text shaping engine,168951,505901,2084046,0
hashcash,Proof-of-work algorithm to counter denial-of-service (DoS) attacks,102,156,346,0
hashcat,World's fastest and most advanced password recovery utility,1847,5660,23906,0
hashlink,Virtual machine for Haxe,23,70,235,0
hashpump,Tool to exploit hash length extension attack,243,868,4226,0
haskell-stack,Cross-platform program for developing Haskell projects,2404,7881,29994,0
haste-client,CLI client for haste-server,4,10,45,0
hasura-cli,Command-Line Interface for Hasura GraphQL Engine,75,244,528,0
hatari,Atari ST/STE/TT/Falcon emulator,39,206,295,0
haxe,Multi-platform programming language,335,953,3379,0
hayai,C++ benchmarking framework inspired by the googletest framework,0,6,21,0
